      5.4021e+00      0.0000e+00
      5.0235e+00      3.7855e-01
      5.1460e+00      2.5054e-01
      5.1164e+00      1.7961e-01
      5.1738e+00      1.5050e-01
      5.2259e+00      1.3346e-01
      5.1546e+00      1.3344e-01
      5.0475e+00      1.5758e-01
      5.0442e+00      1.3901e-01
      5.0806e+00      1.2957e-01
      5.0542e+00      1.2015e-01
      5.0248e+00      1.1356e-01
      5.0307e+00      1.0462e-01
      5.0611e+00      1.0152e-01
      5.0396e+00      9.6907e-02
      5.0443e+00      9.0769e-02
      5.0356e+00      8.5712e-02
      5.0078e+00      8.5443e-02
      4.9997e+00      8.1225e-02
      5.0052e+00      7.7250e-02
      5.0209e+00      7.5138e-02
      5.0280e+00      7.1997e-02
      5.0249e+00      6.8868e-02
      5.0185e+00      6.6246e-02
      5.0278e+00      6.4218e-02
      5.0122e+00      6.3630e-02
      5.0060e+00      6.1543e-02
      5.0205e+00      6.1051e-02
      5.0264e+00      5.9200e-02
      5.0271e+00      5.7198e-02
      5.0224e+00      5.5520e-02
      5.0183e+00      5.3913e-02
      5.0123e+00      5.2606e-02
      5.0005e+00      5.2360e-02
      4.9963e+00      5.1018e-02
      4.9880e+00      5.0271e-02
      4.9767e+00      5.0185e-02
      4.9704e+00      4.9256e-02
      4.9630e+00      4.8537e-02
      4.9699e+00      4.7811e-02
      4.9627e+00      4.7191e-02
      4.9542e+00      4.6825e-02
      4.9617e+00      4.6338e-02
      4.9663e+00      4.5504e-02
      4.9614e+00      4.4755e-02
      4.9665e+00      4.4073e-02
      4.9664e+00      4.3125e-02
      4.9638e+00      4.2300e-02
      4.9638e+00      4.1427e-02
      4.9703e+00      4.1101e-02
      4.9700e+00      4.0287e-02
      4.9731e+00      3.9625e-02
      4.9745e+00      3.8894e-02
      4.9746e+00      3.8167e-02
      4.9696e+00      3.7811e-02
      4.9674e+00      3.7190e-02
      4.9694e+00      3.6583e-02
      4.9605e+00      3.7029e-02
      4.9664e+00      3.6880e-02
      4.9607e+00      3.6705e-02
      4.9526e+00      3.6997e-02
      4.9508e+00      3.6442e-02
      4.9540e+00      3.6004e-02
      4.9555e+00      3.5466e-02
      4.9581e+00      3.5018e-02
      4.9564e+00      3.4528e-02
      4.9599e+00      3.4191e-02
      4.9578e+00      3.3746e-02
      4.9593e+00      3.3285e-02
      4.9574e+00      3.2860e-02
      4.9594e+00      3.2458e-02
      4.9628e+00      3.2185e-02
      4.9668e+00      3.1991e-02
      4.9618e+00      3.1950e-02
      4.9653e+00      3.1709e-02
      4.9663e+00      3.1306e-02
      4.9728e+00      3.1571e-02
      4.9654e+00      3.2025e-02
      4.9683e+00      3.1744e-02
      4.9696e+00      3.1371e-02
      4.9684e+00      3.1002e-02
      4.9667e+00      3.0670e-02
      4.9645e+00      3.0377e-02
      4.9736e+00      3.1352e-02
      4.9721e+00      3.1018e-02
      4.9694e+00      3.0771e-02
      4.9771e+00      3.1374e-02
      4.9774e+00      3.1018e-02
      4.9776e+00      3.0668e-02
      4.9836e+00      3.0921e-02
      4.9884e+00      3.0952e-02
      4.9876e+00      3.0624e-02
      4.9828e+00      3.0685e-02
      4.9779e+00      3.0737e-02
      4.9821e+00      3.0701e-02
      4.9803e+00      3.0437e-02
      4.9763e+00      3.0388e-02
      4.9804e+00      3.0361e-02
      4.9821e+00      3.0100e-02
      4.9829e+00      2.9809e-02

