      5.0000e-01      1.7488e+01      3.4929e-01
      5.3000e-01      1.8989e+01      1.8645e-01
      5.6000e-01      2.0983e+01      1.6623e-01
      5.9000e-01      2.1731e+01      1.3624e-01
      6.2000e-01      2.2028e+01      1.3289e-01
      6.5000e-01      2.1399e+01      1.2161e-01
      6.8000e-01      2.2268e+01      1.1508e-01
      7.1000e-01      2.1486e+01      1.0714e-01
      7.4000e-01      2.2855e+01      1.1064e-01
      7.7000e-01      2.2678e+01      1.1308e-01
      8.0000e-01      2.1607e+01      1.0672e-01
      8.3000e-01      2.1890e+01      1.0323e-01
      8.6000e-01      2.1576e+01      9.9791e-02
      8.9000e-01      2.1445e+01      9.6783e-02
      9.2000e-01      2.1777e+01      9.4870e-02
      9.5000e-01      2.1328e+01      9.1942e-02
      9.8000e-01      2.0766e+01      8.9158e-02
      1.0100e+00      2.0870e+01      8.6487e-02
      1.0400e+00      2.0214e+01      8.2965e-02
      1.0700e+00      1.9838e+01      7.9962e-02
      1.1000e+00      2.0024e+01      7.7789e-02
      1.1300e+00      1.9364e+01      7.4982e-02
      1.1600e+00      1.9383e+01      7.2503e-02
      1.1900e+00      1.9100e+01      7.0258e-02
      1.2200e+00      1.8331e+01      6.7846e-02
      1.2500e+00      1.7755e+01      6.5109e-02
      1.2800e+00      1.7229e+01      6.2360e-02
      1.3100e+00      1.7328e+01      6.0328e-02
      1.3400e+00      1.6496e+01      5.7990e-02
      1.3700e+00      1.6320e+01      5.6016e-02
      1.4000e+00      1.6030e+01      5.4172e-02
      1.4300e+00      1.5824e+01      5.2501e-02
      1.4600e+00      1.5359e+01      5.0598e-02
      1.4900e+00      1.4761e+01      4.8693e-02
      1.5200e+00      1.4494e+01      4.6849e-02
      1.5500e+00      1.3941e+01      4.4932e-02
      1.5800e+00      1.3716e+01      4.3263e-02
      1.6100e+00      1.3590e+01      4.1727e-02
      1.6400e+00      1.3075e+01      4.0184e-02
      1.6700e+00      1.2837e+01      3.8811e-02
      1.7000e+00      1.2467e+01      3.7387e-02
      1.7300e+00      1.2268e+01      3.6091e-02
      1.7600e+00      1.1757e+01      3.4791e-02
      1.7900e+00      1.1553e+01      3.3612e-02
      1.8200e+00      1.1257e+01      3.2436e-02
      1.8500e+00      1.0787e+01      3.1225e-02
      1.8800e+00      1.0668e+01      3.0121e-02
      1.9100e+00      1.0581e+01      2.9158e-02
      1.9400e+00      1.0466e+01      2.8268e-02
      1.9700e+00      1.0188e+01      2.7360e-02
