      5.0000e-01      4.5661e+01      2.5147e-01
      5.3000e-01      4.3916e+01      1.3399e-01
      5.6000e-01      3.7989e+01      1.3183e-01
      5.9000e-01      3.5750e+01      1.5309e-01
      6.2000e-01      2.9275e+01      2.1204e-01
      6.5000e-01      3.0490e+01      2.0394e-01
      6.8000e-01      2.5312e+01      2.0465e-01
      7.1000e-01      2.3083e+01      2.0817e-01
      7.4000e-01      1.9077e+01      2.1291e-01
      7.7000e-01      1.5509e+01      2.2583e-01
      8.0000e-01      1.3917e+01      2.2742e-01
      8.3000e-01      1.1783e+01      2.3522e-01
      8.6000e-01      1.2127e+01      2.3168e-01
      8.9000e-01      1.0246e+01      2.2884e-01
      9.2000e-01      9.8050e+00      2.2515e-01
      9.5000e-01      9.2443e+00      2.2033e-01
      9.8000e-01      7.3106e+00      2.1742e-01
      1.0100e+00      6.6491e+00      2.1412e-01
      1.0400e+00      6.7906e+00      2.0955e-01
      1.0700e+00      6.5896e+00      2.0470e-01
      1.1000e+00      5.6225e+00      2.0039e-01
      1.1300e+00      4.7876e+00      1.9656e-01
      1.1600e+00      4.9379e+00      1.9274e-01
      1.1900e+00      5.0623e+00      1.8841e-01
      1.2200e+00      4.0548e+00      1.8467e-01
      1.2500e+00      3.8862e+00      1.8107e-01
      1.2800e+00      3.5339e+00      1.7765e-01
      1.3100e+00      3.5167e+00      1.7433e-01
      1.3400e+00      3.2835e+00      1.7083e-01
      1.3700e+00      3.1511e+00      1.6748e-01
      1.4000e+00      3.2194e+00      1.6429e-01
      1.4300e+00      2.6683e+00      1.6107e-01
      1.4600e+00      2.5502e+00      1.5812e-01
      1.4900e+00      2.4850e+00      1.5525e-01
      1.5200e+00      2.2052e+00      1.5246e-01
      1.5500e+00      2.3234e+00      1.4959e-01
      1.5800e+00      2.2825e+00      1.4684e-01
      1.6100e+00      2.1333e+00      1.4422e-01
      1.6400e+00      2.1476e+00      1.4165e-01
      1.6700e+00      1.9335e+00      1.3921e-01
      1.7000e+00      1.7849e+00      1.3684e-01
      1.7300e+00      1.8011e+00      1.3455e-01
      1.7600e+00      1.7736e+00      1.3235e-01
      1.7900e+00      2.0485e+00      1.3010e-01
      1.8200e+00      1.7543e+00      1.2798e-01
      1.8500e+00      1.5400e+00      1.2598e-01
      1.8800e+00      1.4783e+00      1.2405e-01
      1.9100e+00      1.5822e+00      1.2210e-01
      1.9400e+00      1.5719e+00      1.2020e-01
      1.9700e+00      1.1917e+00      1.1846e-01
