      5.0000e-01      3.9290e+03      2.1237e+01
      5.3000e-01      3.4548e+03      1.2242e+01
      5.6000e-01      2.9945e+03      1.0573e+01
      5.9000e-01      2.4127e+03      1.3682e+01
      6.2000e-01      1.8651e+03      1.5774e+01
      6.5000e-01      1.7305e+03      1.4311e+01
      6.8000e-01      1.5230e+03      1.3661e+01
      7.1000e-01      1.1845e+03      1.3199e+01
      7.4000e-01      9.7274e+02      1.2816e+01
      7.7000e-01      8.6073e+02      1.2446e+01
      8.0000e-01      8.1061e+02      1.1756e+01
      8.3000e-01      7.0061e+02      1.1175e+01
      8.6000e-01      5.8370e+02      1.0638e+01
      8.9000e-01      5.2277e+02      1.0089e+01
      9.2000e-01      4.7800e+02      9.5658e+00
      9.5000e-01      4.2719e+02      9.0759e+00
      9.8000e-01      3.7854e+02      8.6341e+00
      1.0100e+00      3.6984e+02      8.1833e+00
      1.0400e+00      3.2722e+02      7.7855e+00
      1.0700e+00      3.0714e+02      7.3976e+00
      1.1000e+00      2.8058e+02      7.0382e+00
      1.1300e+00      2.5901e+02      6.7001e+00
      1.1600e+00      2.4575e+02      6.3811e+00
      1.1900e+00      2.2858e+02      6.0850e+00
      1.2200e+00      2.0915e+02      5.8113e+00
      1.2500e+00      1.9835e+02      5.5472e+00
      1.2800e+00      1.8802e+02      5.3028e+00
      1.3100e+00      1.7864e+02      5.0699e+00
      1.3400e+00      1.6336e+02      4.8545e+00
      1.3700e+00      1.5838e+02      4.6522e+00
      1.4000e+00      1.5027e+02      4.4616e+00
      1.4300e+00      1.4272e+02      4.2808e+00
      1.4600e+00      1.3084e+02      4.1128e+00
      1.4900e+00      1.2718e+02      3.9539e+00
      1.5200e+00      1.2145e+02      3.8036e+00
      1.5500e+00      1.1674e+02      3.6614e+00
      1.5800e+00      1.1313e+02      3.5262e+00
      1.6100e+00      1.0704e+02      3.3989e+00
      1.6400e+00      1.0574e+02      3.2771e+00
      1.6700e+00      9.9205e+01      3.1623e+00
      1.7000e+00      9.6177e+01      3.0536e+00
      1.7300e+00      9.2255e+01      2.9502e+00
      1.7600e+00      8.7961e+01      2.8517e+00
      1.7900e+00      8.5192e+01      2.7582e+00
      1.8200e+00      8.3469e+01      2.6690e+00
      1.8500e+00      8.0014e+01      2.5842e+00
      1.8800e+00      7.8248e+01      2.5031e+00
      1.9100e+00      7.3993e+01      2.4261e+00
      1.9400e+00      7.2712e+01      2.3524e+00
      1.9700e+00      7.0103e+01      2.2819e+00
