1 24 17 28 22 0 19 5 15 27 4 10 8 26 13 21 2 9 14 11 7 20 18 25 12 1 23 16 3 29 6
2 17 24 28 22 0 19 5 15 27 4 10 8 26 13 21 2 9 14 11 7 20 18 25 12 1 23 16 3 29 6
3 10 17 27 8 15 5 3 7 9 18 12 13 16 29 28 22 1 26 4 25 2 6 11 20 21 23 0 14 24 19
4 28 22 0 19 5 15 27 4 10 8 24 26 13 21 3 7 29 14 23 9 17 25 2 6 12 11 1 18 20 16
5 28 29 23 22 3 10 4 13 7 14 15 5 9 17 25 8 2 19 27 6 12 11 0 1 21 24 26 18 20 16
6 18 13 7 22 3 10 4 29 2 5 20 19 6 21 25 8 15 24 26 17 27 28 1 0 9 14 23 16 12 11
7 8 5 19 11 18 13 7 14 9 29 23 0 20 1 16 6 21 25 12 22 4 3 15 10 28 26 24 17 27 2
8 8 2 21 20 7 18 9 12 11 3 5 19 6 25 22 28 10 0 13 14 29 23 1 16 26 27 15 17 4 24
9 8 2 21 12 6 9 25 5 18 13 7 14 29 23 0 11 20 1 16 22 15 26 27 17 3 28 24 4 10 19
10 18 13 7 14 8 5 19 11 9 29 23 0 20 1 16 6 21 25 12 2 28 22 3 10 4 27 15 17 24 26
11 18 13 7 14 8 5 19 11 9 29 23 0 20 1 16 6 21 25 12 2 28 22 3 10 4 27 15 17 24 26
12 22 20 28 16 18 13 7 14 8 5 19 11 9 29 23 0 1 6 21 25 12 2 3 10 4 27 15 17 24 26
13 27 12 9 20 0 24 8 5 19 11 18 13 7 14 29 23 28 1 22 16 6 21 25 2 17 15 3 10 4 26
14 18 13 7 14 8 5 19 11 9 29 23 0 20 1 28 22 3 10 16 27 24 26 4 2 21 12 6 25 15 17
15 18 13 7 14 8 5 19 11 9 29 23 0 20 1 28 22 3 10 16 27 24 26 4 2 21 12 6 25 15 17
16 18 13 7 14 8 5 19 11 9 29 23 0 20 1 28 22 3 10 16 27 24 26 4 2 21 12 6 25 15 17
17 8 2 21 12 6 9 25 4 18 13 7 14 29 23 0 11 20 1 16 28 22 3 10 24 26 17 5 19 15 27
18 8 2 21 12 6 9 25 4 18 13 7 14 29 23 0 11 20 1 16 28 22 3 10 24 26 17 5 19 15 27
19 8 2 21 12 6 9 25 4 18 13 7 14 29 23 0 11 20 1 16 28 22 3 10 24 26 17 27 19 5 15
20 8 2 21 12 6 9 25 4 18 13 7 14 29 23 0 11 20 1 16 28 22 3 10 24 26 17 27 19 5 15
21 8 2 21 12 6 9 25 4 18 13 7 14 29 23 0 11 20 1 16 28 22 3 10 24 26 17 27 19 5 15
22 18 13 7 14 1 28 29 23 22 3 10 4 8 5 19 11 9 0 20 16 6 21 25 12 2 15 26 27 17 24
23 20 18 13 7 14 1 16 28 22 3 10 29 23 0 4 8 5 19 11 9 6 21 25 12 2 15 24 17 26 27
24 20 18 13 7 14 1 16 28 22 3 10 29 23 0 12 9 11 6 2 21 25 17 24 19 5 15 27 4 8 26
25 8 2 21 20 18 13 7 14 1 16 28 22 3 10 29 23 0 12 9 11 6 25 17 24 19 5 15 27 4 26
26 8 2 21 20 18 13 7 14 1 16 28 22 3 10 29 23 0 12 9 11 6 25 17 24 19 5 15 27 4 26
27 28 22 3 10 20 18 13 7 14 1 16 29 23 0 12 9 11 6 2 21 25 17 24 19 5 15 8 27 4 26
28 8 28 22 3 10 20 18 13 7 14 1 16 29 23 0 12 9 11 6 2 21 25 17 24 19 5 15 27 4 26
29 28 22 3 10 20 18 13 7 14 1 16 29 23 0 12 9 11 6 2 21 25 17 24 19 5 8 15 27 4 26
30 8 2 21 12 18 13 7 14 28 22 3 10 16 29 20 1 23 0 9 11 6 25 17 24 19 5 15 27 4 26
31 8 2 21 12 18 13 7 14 28 22 3 10 16 29 20 1 23 0 9 11 6 25 17 24 19 5 15 27 4 26
32 28 22 3 10 16 29 18 13 7 14 23 0 20 1 8 12 9 11 6 2 21 25 17 24 19 5 15 4 26 27
33 28 22 3 10 20 18 13 7 14 1 16 29 23 0 12 9 11 6 2 21 25 8 5 19 24 26 4 17 27 15
34 8 2 21 20 18 13 7 14 1 16 28 22 29 23 0 3 10 4 15 5 6 12 9 25 11 19 17 24 26 27
35 28 29 23 22 3 10 16 20 18 13 7 14 1 0 12 9 11 21 8 2 6 25 4 27 24 26 5 17 19 15
36 8 2 21 12 6 9 25 11 20 18 13 7 14 4 29 28 22 23 1 0 16 3 10 27 24 26 19 15 17 5
37 8 2 21 12 6 9 25 11 20 18 13 7 28 22 29 0 1 23 14 16 3 10 5 19 15 27 4 24 26 17
38 8 2 21 12 6 9 25 11 20 18 13 7 28 22 29 0 1 23 14 16 3 10 4 15 5 19 27 17 24 26
39 8 2 21 12 6 9 25 11 20 18 13 7 29 0 1 23 14 16 28 22 3 10 4 5 19 15 17 24 27 26
40 8 2 21 12 6 9 25 11 20 18 13 7 29 0 1 23 14 16 28 22 3 10 4 5 19 15 17 24 27 26
41 8 2 21 12 6 9 25 11 20 18 13 7 29 0 1 23 14 16 28 22 3 10 4 5 19 15 17 24 27 26
42 24 26 8 2 21 12 6 9 25 11 20 18 13 7 28 22 29 0 1 23 14 16 3 10 4 5 19 15 17 27
43 8 2 21 12 6 9 25 11 20 18 13 7 14 1 16 28 22 29 23 0 3 10 4 15 5 19 27 24 26 17
